session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,583,134,3,134,134,3,134,204,134,31
1,422,193,674,255,134,31,396,3934,217,55,31
2,55,3,55,55,5,293,422,334,908,55,31
3,479,4139,479,55,55,55,55,980,200,124,31
4,347,55,5,3465,260,212,3622,2088,693,2088,31
5,231,693,212,212,55,55,128,174,4518,4342,31
6,350,583,134,3,134,31,134,396,192,134,31
7,263,4112,1644,396,55,3,55,3,200,124,31
8,55,334,106,204,1284,516,55,833,106,5,31
9,1016,350,4220,350,3383,540,603,603,540,617,31
10,617,174,174,466,2,2,6,3,2,2645,31
11,2645,3592,3863,2201,160,160,118,90,2,90,31
12,108,561,623,18,44,108,388,17,90,2307,31
13,90,733,5,101,22,1255,1255,90,561,31,31
14,20,31,20,90,5,118,6,3,2,2,31
15,54,2,63,86,54,86,63,54,63,142,31
16,54,63,54,142,61,61,61,61,374,314,31
17,314,374,314,1140,374,1511,1511,1140,314,374,31
18,98,98,314,374,2752,314,1257,1189,1257,314,31
19,2752,1189,1257,1257,314,374,314,374,1189,314,31
20,374,374,1511,3,314,374,2,1511,472,2008,31
21,374,314,3,871,314,2,472,579,871,374,31
22,314,871,314,579,1140,374,871,314,579,1986,31
23,2320,374,314,472,871,871,314,472,579,472,31
24,579,314,579,2302,811,579,314,579,871,472,31
25,579,374,314,472,579,472,314,472,579,579,31
26,871,472,472,472,193,472,674,472,347,128,31
27,472,472,472,579,472,293,579,1475,43,466,31
28,2,2,3,6,2,1866,246,1866,594,1904,31
29,128,204,1475,211,5,594,1866,516,1675,594,31
30,1866,3081,171,171,2,3,6,1805,2,3,31
31,1805,106,1805,1805,374,314,314,374,1511,314,31
32,1379,1140,314,472,2008,374,1257,314,1189,1189,31
33,1257,314,374,472,472,314,314,374,314,1140,31
34,374,314,472,314,1986,472,2320,472,374,472,31
35,472,314,472,2302,579,472,472,472,87,5,31
36,472,87,583,134,3,134,31,3,134,134,31
37,396,4235,962,962,55,3,55,3,55,106,31
38,1564,173,4003,3774,55,3,55,200,124,55,31
39,55,4577,4814,260,885,260,350,350,885,777,31
40,3,55,55,193,55,4682,212,4669,212,260,31
41,260,3482,777,231,231,540,540,55,55,3,31
42,55,55,3,422,106,1779,4619,4245,1370,55,31
43,3,55,55,55,3888,3325,601,601,231,55,31
44,55,882,3,422,479,479,4135,55,55,3,31
45,55,55,422,55,55,3919,3,55,200,124,31
46,31,738,3342,251,3053,3343,906,55,3,55,31
47,193,314,374,374,314,1140,374,2008,917,917,31
48,917,314,314,1140,374,314,1986,2320,917,917,31
49,917,917,917,579,374,2302,917,579,314,55,31
50,579,917,917,583,134,3,134,200,124,31,31
51,1272,134,1607,4712,396,134,1272,134,4887,55,31
52,3,55,396,55,55,3880,563,563,4469,613,31
53,369,260,260,601,601,200,55,124,422,106,31
54,204,347,174,1016,334,1284,106,516,833,4288,31
55,3442,212,212,212,417,417,1539,764,1539,764,31
56,882,55,134,424,583,3,134,134,200,124,31
57,31,134,3991,217,217,1116,396,3,55,200,31
58,124,55,293,922,2428,398,4305,884,3754,693,31
59,693,369,369,398,369,398,398,398,398,55,31
60,55,200,124,5,674,193,128,3675,4282,540,31
61,231,540,231,662,662,217,217,55,55,2261,31
62,55,106,1284,246,516,55,4819,4872,997,1541,31
63,3330,997,1541,997,350,350,622,622,55,217,31
64,217,417,134,134,3944,396,55,55,55,398,31
65,922,55,124,422,200,55,55,479,55,4094,31
66,217,4177,217,55,777,55,124,55,200,193,31
67,106,128,293,106,173,1702,1694,55,334,4694,31
68,1871,4862,1871,231,884,212,212,55,200,124,31
69,422,4640,231,3570,231,55,422,674,204,5,31
